요구사항ID,카테고리,기능명,상세내용,기능구분,우선순위,비고,상태,담당자
REQ-TRACK-001,복약 순응도,복용 완료 체크,복용 완료 체크 버튼,기능,중간,P1 기능,대기중,
REQ-TRACK-002,복약 순응도,순응도 리포트 조회,주간/월간 복용률 차트 조회,기능,낮음,P1 기능,대기중,
REQ-TRACK-003,복약 순응도,미복용 재알림,미복용시 재알림 발송,기능,낮음,P1 기능,대기중,
REQ-PHARM-001,약사 연동,환자 검색,약사 전용 웹에서 환자 검색,기능,중간,P1 기능,대기중,
REQ-PHARM-002,약사 연동,복약 지도 작성,약사가 복약 지도문 작성,기능,중간,P1 기능,대기중,
REQ-PHARM-003,약사 연동,푸시 알림 발송,환자에게 복약 지도 푸시 발송,기능,중간,P1 기능,대기중,
REQ-PHARM-004,약사 연동,발송 이력 관리,푸시 발송 이력 조회 및 관리,기능,낮음,P1 기능,대기중,
REQ-NEARBY-001,약국 찾기,운영 약국 조회,위치 기반 운영중인 약국 조회,기능,낮음,P1 기능,대기중,
REQ-NEARBY-002,약국 찾기,지도/리스트 뷰 전환,지도 뷰와 리스트 뷰 전환,기능,낮음,P1 기능,대기중,
REQ-NEARBY-003,약국 찾기,전화 연결,약국 전화 연결 버튼,기능,낮음,P1 기능,대기중,
REQ-FAMILY-001,가족 관리,가족 연결 요청,보호자가 가족 구성원 연결 요청,기능,낮음,P2 기능,대기중,
REQ-FAMILY-002,가족 관리,가족 연결 수락/거절,가족 연결 요청 수락 또는 거절,기능,낮음,P2 기능,대기중,
REQ-FAMILY-003,가족 관리,가족 복약 현황 조회,가족 구성원 복약 현황 통합 조회,기능,낮음,P2 기능,대기중,
REQ-FAMILY-004,가족 관리,가족 알림 대리 수신,가족 복약 알림 대리 수신,기능,낮음,P2 기능,대기중,
REQ-INTERACT-001,병용금기,약물 상호작용 체크,복용 약물 기반 상호작용 경고,기능,낮음,P2 기능,대기중,
REQ-INTERACT-002,병용금기,경고 배지 표시,병용금기 약물 감지시 경고 표시,기능,낮음,P2 기능,대기중,
REQ-INTERACT-003,병용금기,약사 상담 권장,병용금기 감지시 약사 상담 권장,기능,낮음,P2 기능,대기중,
REQ-CONTENT-001,건강 콘텐츠,웹툰 연재,건강 관련 웹툰 주1회 이상 제공,기능,낮음,P2 기능,대기중,
REQ-CONTENT-002,건강 콘텐츠,콘텐츠 조회,건강 웹툰 콘텐츠 조회,기능,낮음,P2 기능,대기중,
REQ-EMERG-001,응급 정보,응급 카드 등록,"복용약, 알레르기, 기저질환, 비상연락처 등록",기능,낮음,P2 기능,대기중,
REQ-EMERG-002,응급 정보,응급 카드 조회,응급 카드 빠른 조회,기능,낮음,P2 기능,대기중,
REQ-EMERG-003,응급 정보,응급 카드 수정,응급 카드 정보 수정,기능,낮음,P2 기능,대기중,
REQ-NF-001,비기능,성능,AI 분석 전체 프로세스 5초 이내,비기능,높음,KPI,대기중,
REQ-NF-002,비기능,정확성,OCR/Vision AI 인식률 98% 이상,비기능,높음,KPI,대기중,
REQ-NF-003,비기능,보안,SSL/TLS 전송 암호화,비기능,높음,표준 보안,대기중,
REQ-NF-004,비기능,보안,PHI AES-256 저장 암호화,비기능,높음,개인정보보호법,대기중,
REQ-NF-005,비기능,접근성,실버모드 고대비 대형폰트,비기능,높음,WCAG AA,대기중,
REQ-NF-006,비기능,플랫폼,토스 앱인토스 웹뷰 호환,비기능,높음,HTML5 getUserMedia,대기중,
REQ-NF-007,비기능,디자인,TDS 디자인 시스템 필수 사용,비기능,높음,비게임앱 필수,대기중,
REQ-NF-008,비기능,안전성,System Prompt + RAG로 환각 억제,비기능,높음,의료정보 신뢰성,대기중,
REQ-NF-009,비기능,법률,개인정보보호법 준수,비기능,높음,법률자문 필요,대기중,
REQ-NF-010,비기능,법률,의료법 AI 서비스 범위 준수,비기능,높음,법률자문 필요,대기중,
REQ-NF-011,비기능,확장성,MSA 아키텍처 기반 설계,비기능,중간,FastAPI,대기중,
REQ-NF-012,비기능,가용성,API Rate Limiting 적용,비기능,중간,Nginx,대기중,
