1열,Category,Depth1,Depth2,Depth3,요구사항 상세 설명,기능/비기능,우선순위,비고,상태,담당자
REQ-USER-018,회원관리,내 정보 수정,휴대폰 인증,,"내 정보 수정 중 휴대폰 번호를 수정하기 위해서는 휴대폰 번호 입력란 우측의 인증하기 버튼을 클릭하여 휴대폰 인증을 거쳐야 합니다.

휴대폰 번호를 변경하고 휴대폰 번호가 완료되지 않은 상태에서는 변경하기 버튼이 활성화되지 않습니다.

• Flow
    1. 사용자가 입력한 휴대폰 번호로 인증문자 메시지를 전송합니다.
    2. 사용자는 수신한 인증문자에 포함된 인증코드를 입력하고 인증하기 버튼을 클릭하여 휴대폰 인증을 완료.",기능,중간,"- 인증번호는 6자리 난수입니다.
- Twilio 문자 서비스를 이용합니다.",대기중,
REQ-USER-001,,회원가입,,,"모든 비로그인 유저는 회원가입 버튼을 통해 회원가입을 진행할 수 있습니다.

• 회원가입에 필요한 항목
    • 이메일
    • 비밀번호
    • 닉네임
    • 이름
    • 휴대폰 번호
    • 생년월일
    • 성별",기능,높음,"휴대폰 인증 기능 필요
이메일 인증 기능 필요
닉네임 중복 확인 기능 필요",대기중,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
REQ-LECT-001,강의목록,강의 목록 조회,,,"모든 유저는 인프런 같은 IT 지식 강의 플랫폼의 강의들을 카드형태의 목록으로 조회할 수 있어야합니다.

• 무한스크롤(페이지네이션) 적용

• 검색 기능
    •  강의명
    •  강사명

• 필터링 기능
    •  카테고리 별

• 정렬 기능
    •  최신순 ( 기본정렬 )
    •  가격 낮은 순
    •  가격 높은 순
    •  평점 높은 순
    •  평점 낮은 순

• 조회 가능한 항목
    • 강의명
    • 강사명
    • 강의 썸네일 이미지
    • 해당되는 카테고리 목록
    • 강의 난이도
    • 원 가격
    • 할인된 가격
    • 플랫폼 ( Udemy, Inflearn )
    • 리뷰 평점
    • 바로가기 링크",기능,높음,,대기중,
REQ-LECT-002,강의목록,강의 목록 조회,리뷰 조회,,"모든 유저는 조회된 강의 목록에서 각 카드를 클릭하여 확장하면 해당 강의의 최근 리뷰를 최대 4개까지 확인할 수 있어야합니다.

카드가 확장되어 하단에 리뷰가 드러나도록 합니다.

• 리뷰에서 조회 가능한 항목
    • 평점
    • 리뷰 내용",기능,높음,,대기중,
REQ-LECT-003,강의목록,강의 목록 조회,사용자 맞춤 추천,,"로그인 유저가 강의 목록 조회 시 유저에게 협업 필터링, 콘텐츠 기반 필터링을 활용하여 사용자 맞춤 강의를 추천해야 합니다.

추천 강의 목록 섹션은 ""OOO(닉네임) 님을 위한 추천 강의"" 제목으로 보여집니다.

사용자의 선호 강의 카테고리, 강의 검색 기록 등의 데이터를 활용합니다.

유저가 강의 목록 조회 페이지 첫 진입시 추천된 강의 목록은 사용자 선호 카테고리, 이전 스터디 경험 데이터를 사용한 협업필터링을 활용하여 목록조회 상단에 3개를 노출합니다.

사용자가 검색 기능을 사용 시 추천된 강의 목록은 검색 키워드와 사용자 선호 카테고리를 바탕으로 컨텐츠 기반 필터링을 활용하여 추천해야합니다.",기능,높음,,대기중,
REQ-LECT-004,강의목록,강의 상세 조회,,,모든 유저는 강의 목록 조회 내에 위치한 각 항목을 클릭하면 바로가기 링크로 이동하여 해당 강의 플랫폼 내에서 상세조회를 진행할 수 있습니다.,기능,높음,,,
REQ-LECT-005,강의 북마크,추가 or 삭제,,,"모든 로그인 유저는 조회된 강의 목록의 각 항목에 위치한 북마크 버튼을 클릭하여 북마크를 추가 또는 취소할 수 있습니다.

북마크 버튼은 로고 아이콘 버튼 형태입니다.

북마크 추가시 로고 아이콘의 색채가 채워지고, 취소시 색채가 비워진 것으로 구분합니다.",기능,중간,- 로그인 여부 확인 필요,,
REQ-LECT-006,강의 북마크,목록 조회,,,"모든 로그인 유저는 마이페이지 내의 북마크한 강의 메뉴에 접속하여 북마크 해둔 강의 목록을 가로로 긴 카드 형태로 확인할 수 있어야합니다.

• 무한 스크롤 적용 ( 페이지네이션 )

• 검색 기능
    •  강의명
    •  강사명

• 조회 가능한 항목
    • 강의명
    • 강사명
    • 강의 썸네일 이미지
    • 플랫폼 ( Udemy, Inflearn )
    • 강의 난이도
    • 원가
    • 할인가
    • 총 강의 길이 ( HH:MM )
    • 바로가기 링크 ( 강의명에 백링크 )",기능,중간,- 로그인 여부 확인 필요,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
REQ-STDY-001,스터디 그룹,스터디 그룹 생성,,,"모든 로그인 유저는 스터디 그룹 메뉴에 접속하여 스터디 그룹을 생성할 수 있습니다.

• 입력 항목
    • 스터디 그룹 명칭
    • 스터디 그룹 소개 ( 선택사항, 마크다운 에디터 사용 )
    • 스터디 그룹 대표 이미지 ( 선택사항 )
    • 스터디 시작일
        • 오늘 또는 오늘 이후일 것
    • 스터디 종료일
        • 스터디 시작일 보다 5일 이상일 것
    • 강의 선택 ( 선택사항, 최대 5개 지정 가능 )
    • 최대 인원 수 ( 2 ~ 10 명 )",기능,높음,- 로그인 여부 확인 필요,,
REQ-STDY-002,스터디 그룹,스터디 그룹 생성,강의 목록 조회 및 선택,,"모든 로그인 유저는 스터디 그룹을 생성 시에 ""강의 추가하기"" 버튼을 클릭하면 팝업창에서 강의를 검색하고 선택하여 스터디 항목으로 추가할 수 있습니다.

검색 기준과 부분 또는 완전 일치하는 모든 항목을 팝업창 내에 반환합니다.

• 페이지 네이션 적용
    • 1페이지 당 5개 항목
    • limit - offset

• 검색 기준
    • 강의명
    • 강사명",기능,높음,- 로그인 여부 확인 필요,,
REQ-STDY-003,스터디 그룹,스터디 그룹 생성,시작일 및 종료일 선택,,"스터디 그룹 생성 시에 스터디 시작일, 종료일은 캘린더 UI를 통해 날짜를 클릭하여 선택가능 해야합니다.",기능,중간,,,
REQ-STDY-004,스터디 그룹,스터디 그룹 목록 조회,,,"모든 로그인 유저는 스터디 그룹 메뉴에 접속하여 자신이 속한 스터디 그룹을 목록으로 조회할 수 있어야 합니다.

• 조회 가능한 항목
    • 그룹명
    • 인원 현황 ( 현재인원 / 최대 인원 )
    • 리더 여부 ( 리더일 시 목록 카드 우측 상단에 Reader 표시 )
    • 스터디 그룹 대표 이미지
    • 스터디 시작일
    • 스터디 종료일
    • 스터디 상태 ( 우측 상단에 상태 표기 )
        • 대기중
        • 진행중
        • 종료됨
    • 스터디 강의 목록
        • 강의 이름
        • 강사명",기능,높음,"- 로그인 여부 확인 필요
- 비로그인 유저가 해당 메뉴 접근 시 로그인 페이지로 유도",,
REQ-STDY-005,스터디 그룹,스터디 그룹 상세 조회,,,"모든 로그인 유저는 스터디 그룹 페이지의 조회된 스터디 그룹 목록에서 특정 항목을 클릭하여 해당 항목을 상세 조회할 수 있어야 합니다.

• 상세 조회 가능한 항목
    • 그룹명
    • 인원 현황 ( 현재인원 / 최대 인원 )
    • 멤버 목록
        • 닉네임
        • 리더 여부 ( 리더만 표시, 리더는 멤버 목록의 최상단에 표기 )
    • 스터디 그룹 대표 이미지
    • 스터디 시작일
    • 스터디 종료일
    • 스터디 상태
        • 대기중
        • 진행중
        • 종료됨
    • 스터디 강의 목록 ( 카드 형태 )
        • 강의 썸네일 이미지
        • 강의 이름
        • 강사명
        • 강의 바로가기 링크",기능,높음,- 로그인 여부 확인 필요,,
REQ-STDY-006,스터디 그룹,스터디 멤버 추방하기,,,"스터디 그룹의 리더(그룹장)은 스터디 그룹 상세 조회 페이지 내에서 해당 스터디 그룹 멤버 목록에서 특정 멤버를 선택하여 추방할 수 있습니다.

멤버 항목의 우측에 위치한 ""추방하기"" 버튼 혹은 ""x"" 아이콘 버튼을 클릭하여 추방할 수 있습니다.

추방된 멤버는 해당 그룹의 채팅방에서도 추방되어야 합니다.",기능,높음,- 로그인 여부 확인 필요,,
REQ-STDY-007,스터디 그룹,스터디 그룹 나가기,,,"스터디 그룹의 모든 멤버들은 스터디 그룹 상세 조회 페이지 내에서 우측 상단에 위치한 ""나가기"" 버튼을 클릭하여 그룹에서 나갈 수 있습니다.

스터디 그룹 나가기 시 해당 그룹의 채팅방도 함께 나가져야 합니다.",기능,높음,- 로그인 여부 확인 필요,,
REQ-STDY-008,스터디 그룹,스터디 그룹 정보 수정,,,"스터디 그룹의 리더(그룹장)은 스터디 그룹 상세 조회 페이지 내에서 우측 상단에 리더에게만 노출되는 ""수정하기"" 버튼을 클릭하여 스터디 그룹 정보 수정페이지로 이동하여 그룹 정보를 수정할 수 있습니다.

• 수정 가능한 항목
    • 스터디 그룹 명칭
    • 스터디 그룹 소개 ( 마크다운 에디터 사용 )
    • 스터디 그룹 대표 이미지
    • 스터디 시작일
        • 오늘 또는 오늘 이후일 것
    • 스터디 종료일
        • 스터디 시작일 보다 5일 이상일 것
    • 스터디 할 강의 ( 선택사항, 최대 5개 지정 가능 )
    • 최대 인원 수 ( 2 ~ 10 명 )",기능,높음,- 로그인 여부 확인 필요,,
REQ-STDY-009,스터디 그룹,스케줄 작업,스터디 그룹 상태 수정,,"KST 한국 현지 시간 기준, 매일 00:01에 스터디 종료일이 오늘날자보다 이전인 경우 상태를 일괄적으로 ""종료됨"" 으로 업데이트 합니다.",기능,중간,- djang-celery-beat 또는 crontab,,
,,,,,,,,,,
,,,,,,,,,,
REQ-RECM-001,스터디 구인 공고,공고 작성,,,"모든 로그인 유저는 스터디 구인 공고 메뉴에 접속하여 ""공고 작성하기"" 버튼을 클릭하여 스터디 구인 공고 작성이 가능합니다. 

목록 조회 페이지 내에 위치한 ""공고 작성하기"" 버튼을 클릭하면 공고 작성 페이지로 이동합니다.

• 필수 입력 항목
    • 공고 제목
    • 공고 내용
        • 마크다운 에디터 사용
            • 마크다운 서식 텍스트 입력 가능
            • 이미지 사용 가능 ( 최대 5개, 이미지 용량 5MB 이하 )
    • 공고 마감 기한
    • 예상 모집 인원
    • 공고 대상 스터디 그룹 선택 ( 드롭다운 )
        • 종료되지 않은 스터디 그룹에 대해서만 구인 공고 작성 가능

• 선택 입력 항목 
    • 참고 파일 업로드 ( 최대 3개,  파일 용량 5MB 이하 )
    • 예상 결제 비용
        • 별도로 미입력 시 강의 항목 당 결제 비용을 모두 합산하여 자동 입력됨을 알려야 함
    • 사용자 정의 태그",기능,높음,- 비 로그인 유저가 해당 버튼 클릭 시 로그인 필요 안내 후 로그인 페이지로 이동,,
REQ-RECM-002,스터디 구인 공고,공고 작성,태그 검색 및 추가,,"공고 작성 또는 수정시 사용자는 해당 공고에 추가할 태그를 별도의 팝업창에서 검색하여 추가할 수 있습니다.

태그명을 일부 포함 하거나 완전 일치하는 항목을 목록으로 확인할 수 있어야 합니다.

만약 사용자가 입력한 키워드에 따라 검색 결과가 존재하지 않거나 사용자가 마음에 들지 않는 경우 ""새로 등록하기"" 버튼을 클릭하여 검색창에 입력한 키워드를 신규 태그로 등록할 수 있어야 합니다. 

신규 태그 등록 시 이미 존재하는 경우 에러 안내 팝업 메시지를 노출합니다.

사용자는 목록에서 태그들을 선택하여 ""추가하기"" 버튼을 클릭하면 공고에 해당 태그들을 추가할 수 있습니다.

• 페이지네이션 적용
    • 페이지 당 항목 5개


• 태그는 공고당 최대 5개",기능,중간,- 로그인 여부 확인 필요,,
REQ-RECM-003,스터디 구인 공고,목록 조회,,,"모든 유저는 스터디 구인 공고 메뉴에 접속하여 등록된 스터디 구인 공고들을 가로로 긴 카드 형태의 목록으로 확인할 수 있습니다.

마감된 모집 공고는 목록에 노출하지 않습니다.

• 무한스크롤(페이지네이션) 적용

• 검색 기능
    •  공고 제목

• 필터링 기능
    •  카테고리 별
    •  사용자 정의 태그 별

• 정렬 기능
    •  최신순 ( 기본정렬 )
    •  조회수 높은 순
    •  북마크 많은 순

• 조회 가능한 항목
    • 스터디 구인 공고 제목
    • 썸네일 이미지 
        • 공고 내용 중 이미지가 있는 경우 첫번째 이미지 사용
        • 없는 경우 기본 이미지 사용
    • 예상 모집 인원
    • 강의 목록
        • 강의명
        • 강사명
    • 사용자 정의 태그목록
        • 태그명
    • 마감 기한
    • 조회수
    • 북마크 수",기능,높음,- 로그인 여부 확인 필요,,
REQ-RECM-004,스터디 구인 공고,목록 조회,,,"로그인 유저가 공고 조회 시 협업 필터링 또는 컨텐츠 기반 필터링을 활용하여 사용자 맞춤 공고를 목록 상단에 3개를 추천해야 합니다.

• 로그인하지 않은 경우는 개인화 추천 섹션을 노출하지 않습니다.

• 추천 목록 섹션은 ""OOO(닉네임) 님을 위한 맞춤 스터디 공고"" 제목으로 보여집니다.

• 유저가 공고 목록 조회 페이지 첫 진입 시용자 데이터(공고 검색 기록, 이전 스터디 참여 기록 등)를 활용하여 협업 필터링 기반으로 추천합니다.
    • 만약 추천에 활용되어야하는 데이터가 충분하지 않은경우 조회수, 북마크가 많은 상위 3개 스터디 공고를 추천합니다.

• 유저가 목록 조회에서 검색 기능 활용 시 입력한 검색 키워드 + 사용자 스터디 참여 기록을 기반으로 컨텐츠 기반 필터링을 적용합니다.
    • 검색 결과와 사용자 프로필의 관련도를 점수화하여 상위 3개 공고를 추천합니다.",기능,높음,- 로그인 여부 확인 필요,,
REQ-RECM-005,스터디 구인 공고,내가 작성한 공고 조회,,,"모든 유저는 스터디 구인 공고 메뉴에 접속하여 ""공고 관리"" 메뉴를 클릭하면 내가 등록한 스터디 구인 공고들을 가로로 긴 카드 형태의 목록으로 확인할 수 있습니다.

• 무한스크롤(페이지네이션) 적용

• 필터링 기능
    •  마감 여부 별 ( 마감됨, 모집중 )

• 정렬 기능
    •  최신순 ( 기본정렬 )
    •  조회수 높은 순
    •  북마크 많은 순

• 조회 가능한 항목
    • 스터디 구인 공고 제목
    • 썸네일 이미지 
        • 공고 내용 중 이미지가 있는 경우 첫번째 이미지 사용
        • 없는 경우 기본 이미지 사용
    • 예상 모집 인원
    • 강의 목록
        • 강의명
        • 강사명
    • 사용자 정의 태그목록
        • 태그명
    • 마감 기한
    • 조회수
    • 북마크 수",기능,높음,- 로그인 여부 확인 필요,,
REQ-RECM-006,스터디 구인 공고,상세 조회,,,"모든 유저는 조회된 스터디 구인 공고 목록에서 특정 항목을 클릭하여 상세 조회할 수 있습니다.

• 조회 가능한 항목
    • 스터디 구인 공고 제목
    • 공고 내용 ( 마크다운 서식 적용 )
    • 공고 첨부 파일 목록
    • 예상 모집 인원
    • 예상 결제 비용
    • 스터디 강의 목록 ( 카드 형태 )
        • 강의 썸네일 이미지
        • 강의 이름
        • 강사명
        • 강의 바로가기 링크
    • 사용자 정의 태그목록
        • 태그명
    • 마감 기한
    • 공고 등록일시
    • 조회수
    • 북마크 수",기능,높음,- 로그인 시에만 해당 메뉴버튼을 노출,,
REQ-RECM-007,스터디 구인 공고,수정하기,,,"공고를 작성한 유저는 상세 조회 페이지 내에서 ""수정하기"" 버튼이 노출되며 이 버튼을 클릭하여 해당 공고의 수정페이지로 이동하여 공고를 수정할 수 있습니다.

• 수정 가능한 항목
    • 스터디 구인 공고 제목
    • 공고 내용 ( 마크다운 서식 적용 )
    • 공고 첨부 파일 목록
    • 예상 모집 인원
    • 예상 결제 비용
    • 사용자 정의 태그목록
        • 태그명
    • 마감 기한",기능,높음,"- 로그인 시에만 해당 메뉴버튼을 노출
- 공고 조회 유저와 작성유저가 일치하는 경우에만 해당 메뉴버튼을 노출",,
REQ-RECM-008,스터디 구인 공고,수정하기,태그 검색 및 추가,,"공고 수정시 사용자는 해당 공고에 추가할 태그를 별도의 팝업창에서 검색하여 추가할 수 있습니다.

태그명을 일부 포함 하거나 완전 일치하는 항목을 목록으로 확인할 수 있어야 합니다.

만약 사용자가 입력한 키워드에 따라 검색 결과가 존재하지 않거나 사용자가 마음에 들지 않는 경우 ""새로 등록하기"" 버튼을 클릭하여 검색창에 입력한 키워드를 신규 태그로 등록할 수 있어야 합니다. 

신규 태그 등록 시 이미 존재하는 경우 에러 안내 팝업 메시지를 노출합니다.

사용자는 목록에서 태그들을 선택하여 ""추가하기"" 버튼을 클릭하면 공고에 해당 태그들을 추가할 수 있습니다.

• 페이지네이션 적용
    • 페이지 당 항목 5개

• 태그는 공고당 최대 5개",기능,중간,- 로그인 여부 확인 필요,,
REQ-RECM-009,스터디 구인 공고,삭제하기,,,"공고를 작성한 유저는 상세 조회 페이지 내에서 ""삭제하기"" 버튼이 노출되며 이 버튼을 클릭하여 해당 공고를 삭제할 수 있습니다.

버튼 클릭 시 공고가 즉시 삭제되며 되돌릴 수 없음을 안내하는 팝업 메시지를 노출해야 합니다.

서버에서는 해당 공고가 삭제되면 해당 공고에 지원한 내역들도 함께 데이터베이스에서 삭제해야합니다.",기능,높음,"- 로그인 시에만 해당 메뉴버튼을 노출
- 공고 조회 유저와 작성유저가 일치하는 경우에만 해당 메뉴버튼을 노출",,
REQ-RECM-010,스터디 구인 공고 북마크,추가 or 삭제,,,"모든 로그인 유저는 조회된 스터디 구인 공고 목록의 각 항목 카드에 위치한 북마크 버튼을 클릭하여 북마크를 추가 또는 취소할 수 있습니다.

북마크 버튼은 로고 아이콘 버튼 형태입니다.

북마크 추가시 로고 아이콘의 색채가 채워지고, 취소시 색채가 비워진 것으로 구분합니다.",기능,중간,- 비 로그인 유저가 해당 버튼 클릭시 로그인 페이지로 유도,,
REQ-RECM-011,스터디 구인 공고 북마크,목록 조회,,,"모든 로그인 유저는 마이페이지 내의 북마크한 공고 메뉴에 접속하여 북마크 해둔 스터디 구인 공고 목록을 가로로 긴 카드 형태로 확인할 수 있어야합니다.

• 무한 스크롤 적용 ( 페이지네이션 )

• 검색 기능
    •  구인 공고 제목

• 조회 가능한 항목
    • 스터디 구인 공고 제목
    • 썸네일 이미지 
        • 공고 내용 중 이미지가 있는 경우 첫번째 이미지 사용
        • 없는 경우 기본 이미지 사용
    • 예상 모집 인원
    • 강의 목록
        • 강의명
        • 강사명
    • 사용자 정의 태그목록
        • 태그명
    • 마감 기한
    • 조회수
    • 북마크 수",기능,중간,- 로그인 여부 확인 필요,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
REQ-APLY-001,스터디 공고 지원,참여 신청,,,"모든 로그인 유저는 스터디 구인 공고 상세페이지 내에 위치한 ""지원하기"" 버튼을 클릭하여 모달 내에 지원서 양식을 입력하여 공고에 대해서 지원할 수 있습니다.


• 입력 가능한 항목
    • 자기소개
        • 텍스트 입력
    • 지원 동기
        • 텍스트 입력
    • 스터디 목표
        • 텍스트 입력
    • 가능한 시간대
        • 텍스트 입력
    • 스터디 경험 유무
        • 체크박스
    • 구체적인 스터디 경험 
        • 텍스트 입력",기능,높음,- 로그인 여부 확인 필요,,
REQ-APLY-002,스터디 공고 지원,지원 내역 목록 조회,,,"공고 작성자는 자신이 작성한 스터디 구인 공고에 대한 지원 내역을 공고 관리 페이지에서 조회된 공고 목록 중 특정 항목 카드를 확장하여 조회할 수 있습니다.

카드 우측의 지원내역 보기 버튼을 클릭하면 공고 항목카드가 확장되며 해당 공고에 대한 지원 내역이 목록으로 보여야 합니다.

• 무한스크롤 기능

• 조회 가능한 항목
    • 지원자 정보
        • 닉네임
        • 성별
        • 프로필 이미지
    • 가능한 시간대
    • 스터디 경험 유무
    • 지원 내역 상태
    • 지원한 일시 ( YYYY-MM-DD HH:MM ) ",기능,높음,- 로그인 여부 확인 필요,,
REQ-APLY-003,스터디 공고 지원,지원 내역 목록 조회,지원 내역  상세 조회,,"공고 작성자는 조회된 지원 내역 목록에서 특정 항목을 클릭하여 모달을 통해 해당 항목에 대한 상세 조회를 진행할 수 있습니다.

• 조회 가능한 항목
    • 지원자 정보
        • 닉네임
        • 성별
        • 프로필 이미지
    • 자기소개
    • 지원 동기
    • 스터디 목표
    • 가능한 시간대
    • 스터디 경험 유무
    • 구체적인 스터디 경험
    • 지원 내역 상태
    • 지원한 일시 ( YYYY-MM-DD HH:MM ) ",기능,높음,- 로그인 여부 확인 필요,,
REQ-APLY-004,스터디 공고 지원,지원 내역 목록 조회,지원 내역  상세 조회,승인하기,"공고 작성자가 공고에 지원한 내역들을 승인할 수 있습니다.

지원 내역 상세조회 모달 내의 ""승인"" 버튼을 통해 진행할 수 있습니다.

이미 승인되거나 거절된 항목에 대해서는 승인할 수 없어야 합니다.

공고 모집 인원 수 만큼 이미 모집이 완료된 경우 승인할 수 없습니다.

승인 처리 시 해당 지원자는 즉시 스터디 그룹의 멤버로 등록되어야 하며 멤버 등록 시 스터디 그룹의 정원을 초과하여 등록할 수 없습니다.",기능,높음,- 로그인 여부 확인 필요,,
REQ-APLY-005,스터디 공고 지원,지원 내역 목록 조회,지원 내역  상세 조회,거절하기,"공고 작성자가 공고에 지원한 내역들을 거절할 수 있습니다.

이미 승인되거나 거절된 항목에 대해서는 거절할 수 없어야 합니다.

지원 내역 상세조회 모달 내의 ""거절"" 버튼을 통해 진행할 수 있습니다.",기능,높음,- 로그인 여부 확인 필요,,
